id,ccn,agencyId,date,createDate,updateDate,city,state,postalCode,blockizedAddress,incidentType,parentIncidentType,narrative,latitude,longitude
815027499,17-021933-AR,85746,2017-08-09 09:45:27 PM,2017-08-10 01:30:41 PM,2017-12-06 05:23:21 PM,COVINGTON,GA,,3100 Block CLARK ST NW & ALEXANDER ST NW,ARREST-Clrd Adult Arst (One Incident),Other ,ARREST-Clrd Adult Arst (One Incident),33.5968,-83.8668
815027498,17-021934,85746,2017-08-09 09:59:29 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,6100 Block US HWY 278 NE,CALLS-escort,Proactive Policing,CALLS-Escort,33.602770986038955,-83.84334325790405
815027497,17-021935,85746,2017-08-09 10:13:48 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,5100 Block US HWY 278 NW,CALLS-escort,Proactive Policing,CALLS-Escort,33.604522421955885,-83.87177467346191
815027496,17-021936,85746,2017-08-09 10:22:12 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,6100 Block US HWY 278 NE,CALLS-escort,Proactive Policing,CALLS-Escort,33.601537810837144,-83.84218454360962
815027495,17-021937,85746,2017-08-09 10:24:47 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,8100 Block WASHINGTON ST SW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5831281,-83.87817619999998
815027490,17-021942,85746,2017-08-09 10:59:36 PM,2017-08-10 01:30:41 PM,2017-12-06 05:23:21 PM,COVINGTON,GA,,7200 Block TURNER LAKE RD NW & US HWY 278 NW,REPORTS-dui/alcohol,Traffic,REPORTS-DUI/Alcohol,33.6024648,-83.8758479
815027489,17-021942-AR,85746,2017-08-09 10:59:36 PM,2017-08-10 01:30:41 PM,2017-12-06 05:23:21 PM,COVINGTON,GA,,7200 Block TURNER LAKE RD NW & US HWY 278 NW,ARREST-Clrd Adult Arst (One Incident),Other ,ARREST-Clrd Adult Arst (One Incident),33.6024648,-83.8758479
815027487,17-021944,85746,2017-08-09 11:26:21 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,5100 Block HOSPITAL DR NE,CALLS-animal bite,Quality of Life,CALLS-Animal Bite,33.6010397,-83.8480467
815027486,17-021945,85746,2017-08-09 11:29:33 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,6100 Block US HWY 278 NW,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6039226,-83.87499880000001
815027484,17-021947,85746,2017-08-09 11:45:21 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,3100 Block FOWLER ST SW,CALLS-argument,Other ,CALLS-Argument,33.5936771,-83.86724459999999
815027483,17-021948,85746,2017-08-09 11:56:20 PM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,FOWLER ST SW,CALLS-argument,Other ,CALLS-Argument,33.5947459,-83.86627249999998
815027480,17-021951,85746,2017-08-10 12:21:35 AM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,3100 Block WEST ST SW & WASHINGTON ST SW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5948824,-83.8675053
